company_name,company_country_code,company_city,company_market,investor_name,investor_country_code,investor_city,funded_at,funded_month,funded_year,raised_amount_usd,company_name_lower,unicorn_flag
Kabbage,USA,Atlanta,Finance,BlueRun Ventures,USA,Menlo Park,01/12/2011 00:00,2011-01,2011,6650000,kabbage,TRUE
Coupa Software,USA,San Mateo,Enterprise Software,BlueRun Ventures,USA,Menlo Park,03/13/2007 00:00,2007-03,2007,1500000,coupasoftware,TRUE
Coupa Software,USA,San Mateo,Enterprise Software,BlueRun Ventures,USA,Menlo Park,04/09/2008 00:00,2008-04,2008,6000000,coupasoftware,TRUE
Hootsuite,CAN,Vancouver,Software,Blumberg Capital,USA,San Francisco,09/15/2011 00:00,2011-09,2011,3000000,hootsuite,TRUE
Hootsuite,CAN,Vancouver,Software,Blumberg Capital,USA,San Francisco,12/01/2009 00:00,2009-12,2009,1900000,hootsuite,TRUE
Nutanix,USA,San Jose,Enterprise Software,Blumberg Capital,USA,San Francisco,10/25/2011 00:00,2011-10,2011,25000000,nutanix,TRUE
Oscar,USA,New York,Insurance,BoxGroup,USA,New York,07/19/2013 00:00,2013-07,2013,40000000,oscar,TRUE
Warby Parker,USA,New York,Retail,BoxGroup,USA,New York,12/20/2013 00:00,2013-12,2013,60000000,warbyparker,TRUE
Blue Apron,USA,New York,Hospitality,BoxGroup,USA,New York,08/15/2013 00:00,2013-08,2013,5000000,blueapron,TRUE
Blue Apron,USA,New York,Hospitality,BoxGroup,USA,New York,02/19/2013 00:00,2013-02,2013,3000000,blueapron,TRUE
Fab,USA,New York,Design,BoxGroup,USA,New York,08/11/2011 00:00,2011-08,2011,7700000,fab,TRUE
Dataminr,USA,New York,Analytics,BoxGroup,USA,New York,07/26/2011 00:00,2011-07,2011,1086000,dataminr,TRUE
Harry's,USA,New York,Fashion,BoxGroup,USA,New York,08/15/2012 00:00,2012-08,2012,4000000,harry's,TRUE
Legendary Entertainment,USA,Burbank,Games,Breyer Capital,USA,Old Greenwich,04/04/2012 00:00,2012-04,2012,275000000,legendaryentertainment,TRUE
FanDuel,USA,New York,Fantasy Sports,Bullpen Capital,USA,Menlo Park,01/30/2013 00:00,2013-01,2013,11000000,fanduel,TRUE
BlaBlaCar,,,Peer-to-Peer,Cabiedes & Partners,ESP,Madrid,01/16/2012 00:00,2012-01,2012,10000000,blablacar,TRUE
