,funded_month,investor_state_code,Count
3835,2011-02,CHL,1
4936,2012-08,ARE,1
4935,2012-08,AR,1
4933,2012-08,AB,1
4940,2012-08,AZ,1
4932,2012-07,WI,1
3808,2011-01,NE,1
3800,2011-01,LUX,1
3758,2010-12,SWE,1
4975,2012-08,MUS,1
3760,2010-12,UT,1
3763,2011-01,AB,1
3764,2011-01,ARE,1
3767,2011-01,AZ,1
3769,2011-01,BEL,1
3806,2011-01,MUS,1
4972,2012-08,MEX,1
3778,2011-01,DE,1
3781,2011-01,ESP,1
3782,2011-01,EST,1
3788,2011-01,GRC,1
3790,2011-01,HUN,1
3795,2011-01,ITA,1
3799,2011-01,LA,1
4969,2012-08,LUX,1
4930,2012-07,VT,1
3849,2011-02,IA,1
3850,2011-02,ID,1
3920,2011-03,NE,1
3923,2011-03,NLD,1
3924,2011-03,NV,1
3927,2011-03,OK,1
3930,2011-03,POL,1
4900,2012-07,LA,1
3942,2011-04,AUS,1
3918,2011-03,MUS,1
3943,2011-04,AUT,1
4895,2012-07,IRL,1
3952,2011-04,CT,1
3953,2011-04,CZE,1
4894,2012-07,IND,1
3956,2011-04,DNK,1
3958,2011-04,FIN,1
4892,2012-07,IA,1
3944,2011-04,AZ,1
3917,2011-03,MO,1
3905,2011-03,IN,1
3903,2011-03,ID,1
3852,2011-02,IN,1
3853,2011-02,IRL,1
3861,2011-02,MN,1
3862,2011-02,MO,1
3863,2011-02,MUS,1
3865,2011-02,ND,1
4925,2012-07,TN,1
3873,2011-02,QAT,1
3875,2011-02,RUS,1
3878,2011-02,TWN,1
3886,2011-03,BEL,1
4914,2012-07,NZL,1
4912,2012-07,NV,1
4911,2012-07,NOR,1
3892,2011-03,CYM,1
4907,2012-07,MUS,1
3902,2011-03,HUN,1
4891,2012-07,HKG,1
4782,2012-05,NS,1
4203,2011-08,MI,1
4204,2011-08,MN,1
4674,2012-04,AL,1
4459,2011-12,NM,1
4460,2011-12,NS,1
4467,2011-12,QC,1
4468,2011-12,RI,1
4670,2012-03,UKR,1
4478,2012-01,AB,1
4450,2011-12,JOR,1
4479,2012-01,AL,1
4481,2012-01,ARG,1
4483,2012-01,AUT,1
4484,2012-01,AZ,1
4668,2012-03,TN,1
4665,2012-03,SC,1
4663,2012-03,ROM,1
4494,2012-01,CZE,1
4480,2012-01,ARE,1
4662,2012-03,RI,1
4446,2011-12,IND,1
4441,2011-12,GRC,1
4393,2011-11,ME,1
4396,2011-11,MO,1
4398,2011-11,NH,1
4406,2011-11,QAT,1
4411,2011-11,SD,1
4699,2012-04,IN,1
4697,2012-04,HUN,1
4443,2011-12,HUN,1
4418,2011-12,AK,1
4696,2012-04,HKG,1
4430,2011-12,CYM,1
4431,2011-12,DC,1
4432,2011-12,DE,1
4436,2011-12,FIN,1
4439,2011-12,GA,1
4680,2012-04,BGR,1
4419,2011-12,AL,1
4661,2012-03,QC,1
4660,2012-03,PRT,1
4659,2012-03,POL,1
4626,2012-03,DC,1
4565,2012-02,DE,1
4568,2012-02,EGY,1
4570,2012-02,FL,1
4624,2012-03,COL,1
4574,2012-02,HKG,1
4577,2012-02,IND,1
4552,2012-02,ARG,1
4581,2012-02,JOR,1
4585,2012-02,LUX,1
4590,2012-02,MO,1
4591,2012-02,MUS,1
4618,2012-03,BRA,1
4603,2012-02,SD,1
4607,2012-02,TWN,1
4613,2012-03,AB,1
4584,2012-02,LBN,1
4551,2012-02,ARE,1
4550,2012-02,AR,1
4549,2012-02,AL,1
4503,2012-01,GHA,1
4504,2012-01,GRC,1
4506,2012-01,HUN,1
4653,2012-03,NM,1
4516,2012-01,KS,1
4517,2012-01,LTU,1
4651,2012-03,NH,1
4648,2012-03,MN,1
4524,2012-01,MUS,1
4525,2012-01,MYS,1
4527,2012-01,ND,1
4646,2012-03,ME,1
4642,2012-03,LA,1
4640,2012-03,ITA,1
4538,2012-01,RI,1
4540,2012-01,SGP,1
4634,2012-03,HKG,1
4390,2011-11,LUX,1
4389,2011-11,LA,1
4388,2011-11,KY,1
4385,2011-11,ITA,1
4255,2011-09,HUN,1
4256,2011-09,ID,1
4759,2012-05,HKG,1
4258,2011-09,IN,1
4265,2011-09,KWT,1
4266,2011-09,LUX,1
4269,2011-09,ME,1
4254,2011-09,HKG,1
4271,2011-09,MN,1
4275,2011-09,NE,1
4276,2011-09,NJ,1
4280,2011-09,NZL,1
4283,2011-09,OR,1
4288,2011-09,SC,1
4741,2012-05,BGR,1
4297,2011-10,BRA,1
4273,2011-09,MUS,1
4760,2012-05,ID,1
4766,2012-05,ITA,1
4767,2012-05,JOR,1
4205,2011-08,MO,1
4208,2011-08,NLD,1
4210,2011-08,NS,1
4211,2011-08,NV,1
4214,2011-08,OK,1
4215,2011-08,ON,1
4217,2011-08,POL,1
4219,2011-08,RI,1
4778,2012-05,NC,1
4223,2011-08,THA,1
4774,2012-05,ME,1
4230,2011-09,AK,1
4231,2011-09,AL,1
4234,2011-09,AUT,1
4771,2012-05,KY,1
4770,2012-05,KS,1
4243,2011-09,COL,1
4738,2012-05,AZ,1
3757,2010-12,SVN,1
4300,2011-10,CHL,1
4736,2012-05,ARE,1
4356,2011-11,AUS,1
4357,2011-11,AZ,1
4716,2012-04,NV,1
4713,2012-04,NE,1
4365,2011-11,CZE,1
4367,2011-11,DE,1
4710,2012-04,MN,1
4355,2011-11,ARG,1
4370,2011-11,ESP,1
4372,2011-11,FL,1
4376,2011-11,GHA,1
4377,2011-11,GRC,1
4378,2011-11,HKG,1
4379,2011-11,IA,1
4706,2012-04,LUX,1
4382,2011-11,IND,1
4371,2011-11,FIN,1
4354,2011-11,AB,1
4351,2011-10,VT,1
4719,2012-04,OK,1
4307,2011-10,DNK,1
4735,2012-05,AL,1
4734,2012-04,WI,1
4311,2011-10,GA,1
4729,2012-04,TWN,1
4321,2011-10,LUX,1
4726,2012-04,SGP,1
4324,2011-10,ME,1
4327,2011-10,MYS,1
4329,2011-10,NE,1
4330,2011-10,NH,1
4333,2011-10,NS,1
4334,2011-10,NV,1
4340,2011-10,PHL,1
4722,2012-04,POL,1
4346,2011-10,TN,1
4348,2011-10,UKR,1
4305,2011-10,DE,1
2905,2009-09,IRL,1
3754,2010-12,RI,1
4977,2012-08,NH,1
5149,2012-11,CZE,1
3172,2010-02,DNK,1
3175,2010-02,FL,1
3178,2010-02,HKG,1
3185,2010-02,KY,1
3186,2010-02,LUX,1
5138,2012-11,AL,1
3164,2010-02,BEL,1
3189,2010-02,MI,1
3191,2010-02,NC,1
3192,2010-02,NGA,1
3197,2010-02,NZL,1
3198,2010-02,OH,1
3199,2010-02,OK,1
3202,2010-02,PRT,1
3211,2010-02,WA,1
3190,2010-02,MN,1
3212,2010-02,WY,1
3161,2010-02,AL,1
3157,2010-01,UT,1
3108,2010-01,DE,1
5168,2012-11,KY,1
3112,2010-01,EST,1
3114,2010-01,FL,1
3116,2010-01,GA,1
3118,2010-01,GRC,1
3122,2010-01,IN,1
5150,2012-11,DC,1
3129,2010-01,KY,1
5162,2012-11,IN,1
5159,2012-11,GRC,1
3138,2010-01,NH,1
3143,2010-01,NV,1
3149,2010-01,POL,1
3150,2010-01,QC,1
3155,2010-01,TWN,1
3130,2010-01,LUX,1
3216,2010-03,AZ,1
5132,2012-10,TN,1
5131,2012-10,THA,1
3291,2010-04,ID,1
3293,2010-04,IN,1
3297,2010-04,ITA,1
3299,2010-04,KEN,1
3300,2010-04,LUX,1
5114,2012-10,NL,1
3303,2010-04,MI,1
3289,2010-04,GRC,1
3306,2010-04,MUS,1
3317,2010-04,SGP,1
3320,2010-04,TWN,1
3322,2010-04,UT,1
5112,2012-10,NE,1
3326,2010-05,BC,1
5110,2012-10,MUS,1
