index,company_name,company_market,company_country_code,raised_amount_usd
871,Cigital,Consulting,USA,50000000.0
4091,Sojern,Travel,USA,50000000.0
2075,Infer,Predictive Analytics,USA,50000000.0
4935,WiTricity,Clean Technology,USA,50000000.0
1524,Extreme Reach,Advertising,USA,50000000.0
2414,"LendKey Technologies, Inc.",Finance,USA,50000000.0
4111,Sonos,Consumer Electronics,USA,50000000.0
4135,Spark Therapeutics,Biotechnology,USA,50000000.0
4922,WhatsApp,Messaging,USA,50000000.0
530,BioMotiv,Biotechnology,USA,50000000.0
161,Aerohive Networks,Technology,USA,50000000.0
983,Coho Data,Software,TUR,50000000.0
2774,Mode Media,Fashion,USA,50000000.0
1523,Extole,Software,USA,50400000.0
1083,Covestor,Finance,USA,51000000.0
3875,Senhwa Biosciences,Biotechnology,USA,51000000.0
4910,Wego,Travel,SGP,51000000.0
2296,KitCheck,Enterprise Software,USA,51852000.0
1587,FibeRio,Nanotechnology,USA,52000000.0
2572,Magisto,Apps,USA,52000000.0
5094,Zerto,Enterprise Software,USA,52000000.0
606,BonitaSoft,Software,FRA,52000000.0
2095,Innate Pharma,Biotechnology,FRA,52235960.0
896,Civitas Learning,Colleges,USA,52500000.0
3222,PayNearMe,E-Commerce,USA,52600000.0
3773,SR Labs,Finance,USA,53000000.0
3417,Prime Focus,Games,IND,53000000.0
1556,Fancy,Online Shopping,USA,53000000.0
917,Click Security,Networking,USA,53100000.0
290,Appboy,Analytics,USA,53200000.0
3631,Refinery29,Fashion,USA,53600000.0
4346,TARIS Biomedical,Biotechnology,USA,54000000.0
919,ClickTale,Analytics,ISR,54000000.0
5040,Yodo1,Advertising,CHN,54000000.0
3805,Savaari Car Rentals,Public Transportation,IND,54000000.0
3293,Pinguo,Photography,CHN,54000000.0
4177,Spredfast,Twitter Applications,USA,54000000.0
743,Camera360,Photography,CHN,54000000.0
4275,Surefire Medical,Hardware + Software,USA,54600000.0
1553,FanDuel,Fantasy Sports,USA,55000000.0
1686,FreeMonee,Advertising,USA,55000000.0
3233,Pebbles Interfaces,Hardware + Software,ISR,55000000.0
2504,LogiAnalytics.com,Business Intelligence,USA,55000000.0
2534,Luvocracy,E-Commerce,USA,55000000.0
3290,Pindrop Security,Risk Management,USA,55000000.0
3576,Ranovus,Enterprise Software,CAN,55000000.0
916,Cleversafe,Enterprise Software,USA,55000000.0
507,BetterCloud,Cloud Security,USA,55250000.0
242,AmpliPhi Biosciences,Biotechnology,USA,55472997.0
2415,LendUp,Finance,USA,56000000.0
1369,Easy Taxi,SaaS,BRA,56000000.0
2617,Martini Media Inc,Advertising,USA,56000000.0
544,Birks & Mayors,Design,USA,56000000.0
4480,The New Motion,Clean Technology,NLD,56120180.0
5232,f-star Biotech,Biotechnology,AUT,56400000.0
41,6Wunderkinder,Software,DEU,57000000.0
837,Chartboost,Games,USA,57000000.0
2180,Janalakshmi,Finance,IND,57000000.0
4401,TapCommerce,Mobile,USA,57300000.0
4681,UniQure,Health Care,NLD,58000000.0
4585,Treato,Natural Language Processing,ISR,58000000.0
2394,Layer,Infrastructure,USA,58500000.0
209,Allecra Therapeutics,Biotechnology,FRA,58702500.0
1914,Harvest Automation,Manufacturing,USA,58750000.0
4947,Windeln.de,Babies,DEU,58800000.0
344,Arvinas,Biotechnology,USA,60000000.0
3224,Paydiant,Mobile Payments,USA,60000000.0
1290,Divide,Software,USA,60000000.0
335,Arrowhead Research,Biotechnology,USA,60000000.0
1297,Dollar Shave Club,E-Commerce,USA,60000000.0
1506,Evolv,Analytics,USA,60000000.0
1562,Farfetch,Fashion,USA,60000000.0
182,AirTight Networks,Security,USA,60000000.0
3103,Opera Solutions,Predictive Analytics,USA,60000000.0
3265,Pertino,Mobile Infrastructure,USA,60000000.0
71,ARMO BioSciences,Biotechnology,USA,60000000.0
2944,NewsCred,Advertising,BGD,60000000.0
2402,Leap Motion,Hardware + Software,USA,60000000.0
1571,Fastback Networks,Mobile,USA,60000000.0
5066,ZOZI,Travel,USA,60000000.0
