company_market,funded_quarter,funding,startup
Web Hosting,2006-Q3,11000000.0,44
Web Hosting,2006-Q4,8750000.0,36
Web Hosting,2007-Q1,10000000.0,28
Web Hosting,2007-Q2,15000000.0,21
Web Hosting,2007-Q3,17000000.0,38
Web Hosting,2007-Q4,10000000.0,13
Web Hosting,2008-Q1,20000000.0,32
Web Hosting,2008-Q2,14800000.0,45
Web Hosting,2008-Q3,14200000.0,57
Web Hosting,2008-Q4,11005000.0,22
Web Hosting,2009-Q1,9000000.0,9
Web Hosting,2009-Q2,8000000.0,16
Web Hosting,2009-Q3,5500000.0,22
Web Hosting,2009-Q4,17000000.0,33
Web Hosting,2010-Q1,6500000.0,21
Web Hosting,2010-Q2,10000000.0,46
Web Hosting,2010-Q3,8361383.0,16
Web Hosting,2010-Q4,6124490.0,6
Web Hosting,2011-Q1,5500000.0,13
Web Hosting,2011-Q2,12800000.0,25
Web Hosting,2011-Q3,8800000.0,25
Web Hosting,2011-Q4,4200000.0,13
Web Hosting,2012-Q1,2700000.0,12
Web Hosting,2012-Q2,9500000.0,26
Web Hosting,2012-Q3,12787000.0,27
Web Hosting,2012-Q4,4566844.5,10
Web Hosting,2013-Q1,19136000.0,2
Web Hosting,2013-Q2,10000000.0,19
Web Hosting,2013-Q3,725000.0,8
Web Hosting,2013-Q4,30000000.0,13
