,funded_month,investor_state_code,Count,latitude,longitude
3475,2006-01,JPN,6,36.0,138.0
3476,2009-01,JPN,6,36.0,138.0
3477,2011-10,JPN,6,36.0,138.0
3478,2012-05,JPN,6,36.0,138.0
3479,2013-06,JPN,7,36.0,138.0
3480,2012-10,JPN,7,36.0,138.0
3481,2012-09,JPN,7,36.0,138.0
3482,2007-10,JPN,7,36.0,138.0
3483,2008-12,JPN,7,36.0,138.0
3484,2010-09,JPN,7,36.0,138.0
3485,2008-02,JPN,7,36.0,138.0
3486,2012-01,JPN,7,36.0,138.0
3487,2005-01,JPN,7,36.0,138.0
3488,2009-11,JPN,8,36.0,138.0
3489,2011-01,JPN,8,36.0,138.0
3490,2012-12,JPN,8,36.0,138.0
3491,2006-06,JPN,8,36.0,138.0
3492,2007-02,JPN,8,36.0,138.0
3493,2006-11,JPN,8,36.0,138.0
3494,2008-05,JPN,8,36.0,138.0
3495,2011-09,JPN,8,36.0,138.0
3496,2013-01,JPN,9,36.0,138.0
3497,2007-05,JPN,9,36.0,138.0
3498,2013-03,JPN,9,36.0,138.0
3499,2008-06,JPN,9,36.0,138.0
3500,2011-02,JPN,9,36.0,138.0
3501,2008-07,JPN,10,36.0,138.0
3502,2005-09,JPN,10,36.0,138.0
3503,2013-05,JPN,10,36.0,138.0
3504,2013-07,JPN,11,36.0,138.0
3505,2011-11,JPN,11,36.0,138.0
3506,2013-11,JPN,11,36.0,138.0
3507,2013-10,JPN,12,36.0,138.0
3508,2007-09,JPN,13,36.0,138.0
3509,2008-01,JPN,13,36.0,138.0
3510,2013-04,JPN,14,36.0,138.0
3511,2011-12,JPN,14,36.0,138.0
3512,2013-08,JPN,15,36.0,138.0
3513,2013-12,JPN,23,36.0,138.0
3514,2008-08,NJ,1,40.314,-74.5089
3515,2009-07,NJ,1,40.314,-74.5089
3516,2007-09,NJ,1,40.314,-74.5089
3517,2007-02,NJ,1,40.314,-74.5089
3518,2008-05,NJ,1,40.314,-74.5089
3519,2008-01,NJ,1,40.314,-74.5089
3520,2011-09,NJ,1,40.314,-74.5089
3521,2012-08,NJ,1,40.314,-74.5089
3522,2005-02,NJ,1,40.314,-74.5089
3523,2005-05,NJ,1,40.314,-74.5089
3524,2004-10,NJ,1,40.314,-74.5089
3525,2006-04,NJ,1,40.314,-74.5089
3526,2004-04,NJ,1,40.314,-74.5089
3527,2004-12,NJ,1,40.314,-74.5089
3528,2006-01,NJ,1,40.314,-74.5089
3529,2008-11,NJ,2,40.314,-74.5089
3530,2005-11,NJ,2,40.314,-74.5089
3531,2009-11,NJ,2,40.314,-74.5089
3532,2009-02,NJ,2,40.314,-74.5089
3533,2005-09,NJ,2,40.314,-74.5089
3534,2009-03,NJ,2,40.314,-74.5089
3535,2007-07,NJ,2,40.314,-74.5089
3536,2007-12,NJ,2,40.314,-74.5089
3537,2005-03,NJ,2,40.314,-74.5089
3538,2006-12,NJ,2,40.314,-74.5089
3539,2008-04,NJ,2,40.314,-74.5089
3540,2006-07,NJ,2,40.314,-74.5089
3541,2006-06,NJ,2,40.314,-74.5089
3542,2008-06,NJ,2,40.314,-74.5089
3543,2005-06,NJ,2,40.314,-74.5089
3544,2012-11,NJ,3,40.314,-74.5089
3545,2005-07,NJ,3,40.314,-74.5089
3546,2009-12,NJ,3,40.314,-74.5089
3547,2011-04,NJ,3,40.314,-74.5089
3548,2011-05,NJ,3,40.314,-74.5089
3549,2010-02,NJ,3,40.314,-74.5089
3550,2010-04,NJ,3,40.314,-74.5089
3551,2011-02,NJ,3,40.314,-74.5089
3552,2008-10,NJ,3,40.314,-74.5089
3553,2008-09,NJ,3,40.314,-74.5089
3554,2006-03,NJ,3,40.314,-74.5089
3555,2009-01,NJ,3,40.314,-74.5089
3556,2008-12,NJ,3,40.314,-74.5089
3557,2008-07,NJ,3,40.314,-74.5089
3558,2007-10,NJ,3,40.314,-74.5089
3559,2007-03,NJ,3,40.314,-74.5089
3560,2007-05,NJ,3,40.314,-74.5089
3561,2007-01,NJ,3,40.314,-74.5089
3562,2005-12,NJ,3,40.314,-74.5089
3563,2009-05,NJ,3,40.314,-74.5089
3564,2006-02,NJ,3,40.314,-74.5089
3565,2013-11,NJ,4,40.314,-74.5089
3566,2006-09,NJ,4,40.314,-74.5089
3567,2005-04,NJ,4,40.314,-74.5089
3568,2011-03,NJ,4,40.314,-74.5089
3569,2012-02,NJ,4,40.314,-74.5089
3570,2010-12,NJ,4,40.314,-74.5089
3571,2011-10,NJ,4,40.314,-74.5089
3572,2012-04,NJ,4,40.314,-74.5089
3573,2012-10,NJ,4,40.314,-74.5089
3574,2012-05,NJ,4,40.314,-74.5089
3575,2005-10,NJ,4,40.314,-74.5089
3576,2012-12,NJ,4,40.314,-74.5089
3577,2009-06,NJ,4,40.314,-74.5089
3578,2010-08,NJ,4,40.314,-74.5089
3579,2012-09,NJ,4,40.314,-74.5089
3580,2006-08,NJ,4,40.314,-74.5089
3581,2011-06,NJ,4,40.314,-74.5089
3582,2011-12,NJ,4,40.314,-74.5089
3583,2010-07,NJ,4,40.314,-74.5089
3584,2011-11,NJ,5,40.314,-74.5089
3585,2011-08,NJ,5,40.314,-74.5089
3586,2008-02,NJ,5,40.314,-74.5089
3587,2010-01,NJ,5,40.314,-74.5089
3588,2007-11,NJ,5,40.314,-74.5089
3589,2013-04,NJ,5,40.314,-74.5089
3590,2013-01,NJ,5,40.314,-74.5089
3591,2010-11,NJ,5,40.314,-74.5089
3592,2007-06,NJ,5,40.314,-74.5089
3593,2013-05,NJ,5,40.314,-74.5089
3594,2006-10,NJ,5,40.314,-74.5089
3595,2007-04,NJ,6,40.314,-74.5089
3596,2013-08,NJ,6,40.314,-74.5089
3597,2008-03,NJ,6,40.314,-74.5089
3598,2006-11,NJ,6,40.314,-74.5089
3599,2010-06,NJ,6,40.314,-74.5089
3600,2012-07,NJ,6,40.314,-74.5089
3601,2010-10,NJ,6,40.314,-74.5089
