,Investor,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BGD,BGR,BMU,BRA,CAN,CHE,CHL,CHN,COL,CRI,CYM,CYP,CZE,DEU,DNK,ECU,EGY,ESP,EST,FIN,FRA,GBR,GHA,GIB,GRC,GTM,HKG,HRV,HUN,IDN,IND,IRL,ISL,ISR,ITA,JOR,JPN,KEN,KOR,LBN,LTU,LUX,LVA,MAF,MAR,MEX,MKD,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROM,RUS,SAU,SGP,SLV,SRB,SVK,SVN,SWE,THA,TUR,TWN,UKR,USA
41,KOR,0,0,0,0,0,0,0,0,0,0,0,42000000,0,0,25000000,0,0,0,0,0,0,0,0,0,0,0,0,44380000,242000000,0,0,0,0,0,0,0,0,0,246560,0,8800000,0,0,0,0,598768609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,15000000,0,5223421220.0
42,KWT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5604719,0,0,0,0,0,51964000,0,0,0,0,0,0,49450000,94229943,0,0,0,0,0,0,0,0,0,14000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19000000,0,0,0,0,130000000.0
43,LBN,2895000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000,0,0,0,530000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,700000,0,0,0,8481000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,0,0,0,0,0,0,0,0,0.0
44,LKA,0,0,0,0,0,0,0,0,0,0,0,9600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,LTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1749898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
46,LUX,0,0,0,0,0,0,583443860,0,0,0,0,0,66800000,0,110000000,0,0,0,0,0,72965000,0,0,0,241986490,0,0,47101350,353590000,0,0,0,0,0,0,0,0,0,0,0,172100000,0,0,0,0,0,0,0,41500000,0,0,0,0,0,0,0,75000000,0,0,0,0,0,0,0,0,134000000,0,0,0,0,0,0,28035601,0,0,0,0,1382370000.0
47,LVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376000,0,0,0,0,0,0,0,0,0,0,0,0,55000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
48,MEX,0,775000,0,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000000,0,0,0,0,0,0,0,0,0,0,0,52610000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152000000.0
49,MUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1618526310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807172070.0
50,MYS,0,0,0,0,0,0,7183800,0,0,0,0,0,0,0,0,0,0,0,0,0,9866928,0,0,0,0,0,0,0,241015928,0,0,0,0,0,0,0,0,187000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,152278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523654000.0
51,NGA,0,0,0,10000000,2591800,0,0,0,0,0,0,0,0,0,10000000,0,0,0,0,0,3810000,0,0,0,0,0,0,453000,94991000,0,0,0,0,0,0,0,0,0,4976000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138290000.0
52,NLD,0,143083,0,0,133369395,0,401708540,0,0,0,3000000,155301234,285536750,0,0,0,0,0,0,0,555961460,181800000,0,0,118899800,0,56182460,230317500,1405645795,0,0,0,0,12500000,0,0,0,0,0,0,91500000,0,10000000,0,0,0,0,0,0,0,0,0,0,0,0,0,3299005521,2610000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17592449,0,0,0,0,6098230798.0
53,NOR,0,0,0,0,20000000,0,0,0,0,0,0,17940000,272117600,0,0,0,0,0,0,0,63220496,0,0,0,0,0,2660000,0,483425792,0,0,0,0,0,0,0,0,0,0,0,0,514640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2349046110,0,0,0,0,0,0,0,0,0,800000,0,0,0,0,1155107916,0,0,0,0,3816053865.0
54,NZL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139865000.0
55,PAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000.0
56,PHL,0,0,0,0,0,0,0,0,0,0,0,33000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324790000.0
57,POL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315000,0,0,0,707630,8990800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27067855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13078000,0,0,0,0,0,11295229,0,0,15600000,0,0,0,0,0,0,0,0,0,0,0,234661780.0
58,PRT,0,0,0,6250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56130000,0,0,0,307332332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65314256,0,0,0,0,0,0,0,0,0,0,0,0,0,1322081819.0
59,QAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280000000.0
60,ROM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22406200,1587000000,0,0,0,0,0,0,0,0,0,0,0,250000.0
61,RUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000,0,0,0,1500000,0,375183900,0,0,0,5696550,18000000,0,0,133358976,0,0,0,0,0,0,0,0,82000000,3500000,0,63690000,0,0,0,0,4333879,0,25000000,10040000,0,0,0,0,0,0,0,2000000,0,0,0,0,0,0,0,192300000,3301845573,0,1030000,0,0,0,0,255000000,0,0,0,0,13119485862.0
62,SAU,0,0,0,0,0,0,0,0,0,0,7000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12911358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67000000.0
63,SGP,0,0,0,73944741,0,0,0,0,0,0,0,88500000,9500000,0,3583408031,0,0,0,0,0,0,12000000,0,0,0,0,16000000,25000000,0,0,0,0,0,0,0,0,27000000,242480000,0,0,132900000,0,0,23900000,0,7240000,0,0,0,0,0,0,0,0,2000000,0,0,0,0,0,0,11700,0,0,0,0,0,341034459,0,0,0,0,0,0,0,0,1500000,6273106917.0
